uuid,created_at_utc,provider,model,survey,role_uid,time_s,est_cost_usd,is_valid,invalid_reason,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,R
215e888b-2526-4a97-b8c5-ee0ae6597f91,2025-10-07T16:43:06Z,openai,gpt-3.5-turbo,acp,ana,4.133558988571167,0.0029309999999999996,TRUE,NA,11,11,1,1,11,11,11,11,1,11,11,1,1,11,11,11,11,11,11,11,11,11,1,11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA,NA,3,4,5,2,1,NA,NA,NA,NA,NA,"5 prioritizes equal influence for all, 1 supports minimal government intervention, 3 advocates for diverse policy making, 4 emphasizes moral principles, 2 maintains current system."
818bb167-ac4c-4385-9336-c5f52be391f0,2025-10-07T16:43:11Z,openai,gpt-3.5-turbo,acp,ana,3.53771710395813,0.0029054999999999997,TRUE,NA,11,11,1,1,1,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA,NA,1,2,4,3,5,NA,NA,NA,NA,NA,"I support minimal government intervention in economic markets, inclusive policy making, and equality for all."
41348dee-9650-46a4-8988-e7fc6156274c,2025-10-07T16:43:15Z,openai,gpt-3.5-turbo,acp,ana,3.558048963546753,0.002907,TRUE,NA,11,11,1,11,1,11,11,11,11,11,11,11,1,11,11,11,1,11,11,11,11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA,NA,1,3,2,5,4,NA,NA,NA,NA,NA,"I support policies promoting equal influence for all Australians, minimal government intervention, and inclusive policy making."
3176abfa-eff3-414d-a561-bf593093cbbd,2025-10-07T16:43:19Z,openai,gpt-3.5-turbo,acp,ana,3.8198888301849365,0.002904,TRUE,NA,11,11,1,11,1,11,11,11,1,11,11,11,1,11,11,11,1,11,11,11,11,11,1,11,11,11,11,11,11,11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,1,11,11,11,NA,NA,3,5,2,4,1,NA,NA,NA,NA,NA,"I support policies promoting equal influence for all, rejecting special benefits and minimal government intervention."
40991514-54d7-4706-8dad-69c3be379a3f,2025-10-07T16:43:24Z,openai,gpt-3.5-turbo,acp,ana,3.5350570678710938,0.0029035000000000003,TRUE,NA,11,11,1,11,1,11,11,11,11,11,11,11,1,11,11,11,1,11,11,11,11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,11,11,11,NA,NA,3,1,5,2,4,NA,NA,NA,NA,NA,"I support policies promoting equal influence, involvement of disadvantaged groups, and minimal government intervention."
1364f916-a311-49aa-98f8-4a22c997043b,2025-10-07T16:43:43Z,openai,gpt-3.5-turbo,acp,csk,8.479771137237549,0.002914,TRUE,NA,7,8,2,4,2,3,7,4,7,5,5,6,4,4,6,5,8,6,8,7,5,9,4,6,5,3,4,7,9,5,7,5,8,9,6,7,8,4,7,6,7,3,6,6,6,8,4,8,NA,NA,2,3,5,4,1,NA,NA,NA,NA,NA,I prioritize minimal government intervention in economic markets and uphold strong moral principles.
861cdc2e-86c2-43bc-86f4-03514d72fd53,2025-10-07T16:43:52Z,openai,gpt-3.5-turbo,acp,csk,3.6592750549316406,0.00291,TRUE,NA,11,11,11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,11,11,11,NA,NA,2,3,1,4,5,NA,NA,NA,NA,NA,I prioritize strong leadership and economic market focus over minority group influence.
483c6a25-ae8a-4e08-ad1d-4321baa0c11d,2025-10-07T16:43:56Z,openai,gpt-3.5-turbo,acp,csk,4.426965951919556,0.0029114999999999996,FALSE,c_all_equal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,2,1,4,3,5,NA,NA,NA,NA,NA,I prioritize economic market efficiency and minimal government intervention for societal success.
f5329824-bd8d-4d55-9595-5db435b096e1,2025-10-07T16:44:01Z,openai,gpt-3.5-turbo,acp,csk,3.670698881149292,0.002917,FALSE,c_all_equal,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA,NA,1,4,2,3,5,NA,NA,NA,NA,NA,I prioritize minimal government intervention in economic markets over social group involvement or moral legislation.
f17cdbdc-4ed0-47a0-9056-6021513cb9b8,2025-10-07T16:49:49Z,openai,gpt-3.5-turbo,acp,fun,5.5664591789245605,0.0029054999999999997,FALSE,c_all_equal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,5,4,2,1,3,NA,NA,NA,NA,NA,I support a government with strong moral principles and limited intervention in economic markets.
a56676f7-8d95-47dc-b08e-a58b97999e89,2025-10-07T16:49:55Z,openai,gpt-3.5-turbo,acp,fun,3.8609659671783447,0.0029094999999999998,TRUE,NA,1,1,1,1,1,1,1,11,1,11,1,1,1,1,11,11,1,1,1,1,1,1,11,11,1,1,1,1,11,1,1,1,1,1,1,1,1,11,1,1,1,1,11,11,1,11,11,11,NA,NA,3,4,2,1,5,NA,NA,NA,NA,NA,"I support policies that prioritize economic markets and moral principles, oppose special benefits for minorities."
f2eafb0b-851b-4bc3-8afe-f4146b649ae7,2025-10-07T16:49:59Z,openai,gpt-3.5-turbo,acp,fun,3.673037052154541,0.00291,FALSE,c_all_equal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,3,2,4,1,5,NA,NA,NA,NA,NA,"I support a government with strong moral principles, minimal intervention, and equal influence for all."
c00415b6-4cf0-4f32-a690-1f43e6c2cce5,2025-10-07T16:50:03Z,openai,gpt-3.5-turbo,acp,fun,5.0171730518341064,0.00291,FALSE,c_all_equal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,5,4,2,3,1,NA,NA,NA,NA,NA,"I support a government that ensures equal influence for all Australians, with minimal intervention in society."
8b9dcc73-9dcc-4c47-a93c-2c87359d05e4,2025-10-07T16:50:09Z,openai,gpt-3.5-turbo,acp,fun,3.2633512020111084,0.0029115,TRUE,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,5,3,4,2,1,NA,NA,NA,NA,NA,"I support a government that prioritizes economic markets and moral principles, ensuring equal influence for all."
